PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
77178,20170103,QCOM,QUALCOMM INC,65.40000,0.003068,1
77178,20170104,QCOM,QUALCOMM INC,65.47000,0.001070,1
77178,20170105,QCOM,QUALCOMM INC,65.55000,0.001222,1
77178,20170106,QCOM,QUALCOMM INC,65.53000,-0.000305,1
77178,20170109,QCOM,QUALCOMM INC,65.65000,0.001831,1
77178,20170110,QCOM,QUALCOMM INC,65.63000,-0.000305,1
77178,20170111,QCOM,QUALCOMM INC,66.10000,0.007161,1
77178,20170112,QCOM,QUALCOMM INC,66.12000,0.000303,1
77178,20170113,QCOM,QUALCOMM INC,66.88000,0.011494,1
77178,20170117,QCOM,QUALCOMM INC,64.19000,-0.040221,1
77178,20170118,QCOM,QUALCOMM INC,65.13000,0.014644,1
77178,20170119,QCOM,QUALCOMM INC,64.44000,-0.010594,1
77178,20170120,QCOM,QUALCOMM INC,62.88000,-0.024209,1
77178,20170123,QCOM,QUALCOMM INC,54.88000,-0.127226,1
77178,20170124,QCOM,QUALCOMM INC,55.00000,0.002187,1
77178,20170125,QCOM,QUALCOMM INC,56.90000,0.034545,1
77178,20170126,QCOM,QUALCOMM INC,54.05000,-0.050088,1
77178,20170127,QCOM,QUALCOMM INC,54.24000,0.003515,1
77178,20170130,QCOM,QUALCOMM INC,53.61000,-0.011615,1
77178,20170131,QCOM,QUALCOMM INC,53.43000,-0.003358,1
77178,20170201,QCOM,QUALCOMM INC,53.15000,-0.005240,1
77178,20170202,QCOM,QUALCOMM INC,52.66000,-0.009219,1
77178,20170203,QCOM,QUALCOMM INC,52.98000,0.006077,1
77178,20170206,QCOM,QUALCOMM INC,52.88000,-0.001887,1
77178,20170207,QCOM,QUALCOMM INC,53.27000,0.007375,1
77178,20170208,QCOM,QUALCOMM INC,52.89000,-0.007133,1
77178,20170209,QCOM,QUALCOMM INC,52.88000,-0.000189,1
77178,20170210,QCOM,QUALCOMM INC,54.00000,0.021180,1
77178,20170213,QCOM,QUALCOMM INC,54.93000,0.017222,1
77178,20170214,QCOM,QUALCOMM INC,55.48000,0.010013,1
77178,20170215,QCOM,QUALCOMM INC,56.49000,0.018205,1
77178,20170216,QCOM,QUALCOMM INC,56.88000,0.006904,1
77178,20170217,QCOM,QUALCOMM INC,56.46000,-0.007384,1
77178,20170221,QCOM,QUALCOMM INC,56.75000,0.005136,1
77178,20170222,QCOM,QUALCOMM INC,57.10000,0.006167,1
77178,20170223,QCOM,QUALCOMM INC,57.14000,0.000701,1
77178,20170224,QCOM,QUALCOMM INC,57.22000,0.001400,1
77178,20170227,QCOM,QUALCOMM INC,56.73000,0.000699,1
77178,20170228,QCOM,QUALCOMM INC,56.48000,-0.004407,1
77178,20170301,QCOM,QUALCOMM INC,57.01000,0.009384,1
77178,20170302,QCOM,QUALCOMM INC,56.37000,-0.011226,1
77178,20170303,QCOM,QUALCOMM INC,56.44000,0.001242,1
77178,20170306,QCOM,QUALCOMM INC,56.45000,0.000177,1
77178,20170307,QCOM,QUALCOMM INC,56.73000,0.004960,1
77178,20170308,QCOM,QUALCOMM INC,57.77000,0.018332,1
77178,20170309,QCOM,QUALCOMM INC,57.97000,0.003462,1
77178,20170310,QCOM,QUALCOMM INC,58.64000,0.011558,1
77178,20170313,QCOM,QUALCOMM INC,58.46000,-0.003070,1
77178,20170314,QCOM,QUALCOMM INC,58.22000,-0.004105,1
77178,20170315,QCOM,QUALCOMM INC,58.52000,0.005153,1
77178,20170316,QCOM,QUALCOMM INC,58.35000,-0.002905,1
77178,20170317,QCOM,QUALCOMM INC,57.55000,-0.013710,1
77178,20170320,QCOM,QUALCOMM INC,57.81000,0.004518,1
77178,20170321,QCOM,QUALCOMM INC,56.80000,-0.017471,1
77178,20170322,QCOM,QUALCOMM INC,57.04000,0.004225,1
77178,20170323,QCOM,QUALCOMM INC,56.81000,-0.004032,1
77178,20170324,QCOM,QUALCOMM INC,56.92000,0.001936,1
77178,20170327,QCOM,QUALCOMM INC,56.66000,-0.004568,1
77178,20170328,QCOM,QUALCOMM INC,57.38000,0.012707,1
77178,20170329,QCOM,QUALCOMM INC,57.36000,-0.000349,1
77178,20170330,QCOM,QUALCOMM INC,57.20000,-0.002789,1
77178,20170331,QCOM,QUALCOMM INC,57.34000,0.002448,1
77178,20170403,QCOM,QUALCOMM INC,56.50000,-0.014649,1
77178,20170404,QCOM,QUALCOMM INC,56.68000,0.003186,1
77178,20170405,QCOM,QUALCOMM INC,56.47000,-0.003705,1
77178,20170406,QCOM,QUALCOMM INC,56.53000,0.001062,1
77178,20170407,QCOM,QUALCOMM INC,56.32000,-0.003715,1
77178,20170410,QCOM,QUALCOMM INC,56.52000,0.003551,1
77178,20170411,QCOM,QUALCOMM INC,55.35000,-0.020701,1
77178,20170412,QCOM,QUALCOMM INC,53.39000,-0.035411,1
77178,20170413,QCOM,QUALCOMM INC,52.79000,-0.011238,1
77178,20170417,QCOM,QUALCOMM INC,52.89000,0.001894,1
77178,20170418,QCOM,QUALCOMM INC,52.67000,-0.004160,1
