caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
20060103,0.016341,0.016340,0.015027,0.015023,11699545700.00,500,11540511600.00,500,1268.80,0.016430
20060104,0.003931,0.003736,0.006375,0.006284,11740829600.00,499,11697131300.00,499,1273.46,0.003673
20060105,0.000028,0.000021,0.000621,0.000611,11745619900.00,500,11745378700.00,500,1273.48,0.000016
20060106,0.009559,0.009322,0.010100,0.009988,11855262700.00,500,11745619900.00,500,1285.45,0.009399
20060109,0.003710,0.003708,0.005676,0.005673,11899300800.00,500,11855262700.00,500,1290.15,0.003656
20060110,-0.000340,-0.000394,0.000430,0.000379,11894617400.00,500,11899300800.00,500,1289.69,-0.000357
20060111,0.003637,0.003496,0.002224,0.002079,11936204900.00,500,11894617400.00,500,1294.18,0.003481
20060112,-0.006328,-0.006336,-0.006196,-0.006212,11860576900.00,500,11936204900.00,500,1286.06,-0.006274
20060113,0.001146,0.001141,0.001139,0.001122,11874096000.00,500,11860576900.00,500,1287.61,0.001205
20060117,-0.003727,-0.003727,-0.004485,-0.004485,11829840600.00,500,11874096000.00,500,1282.93,-0.003635
20060118,-0.003855,-0.003962,-0.001077,-0.001109,11782968000.00,500,11829840600.00,500,1277.93,-0.003897
20060119,0.005627,0.005621,0.007452,0.007443,11849198300.00,500,11782968000.00,500,1285.04,0.005564
20060120,-0.018242,-0.018251,-0.015819,-0.015822,11632937000.00,500,11849198300.00,500,1261.49,-0.018326
20060123,0.001952,0.001938,0.002861,0.002848,11655825500.00,500,11632937000.00,500,1263.82,0.001847
20060124,0.002346,0.002333,0.006606,0.006595,11683020400.00,500,11655825500.00,500,1266.86,0.002405
20060125,-0.001663,-0.001684,-0.001970,-0.002012,11663569700.00,500,11683020400.00,500,1264.68,-0.001721
20060126,0.007313,0.007284,0.008012,0.007956,11748525000.00,500,11663569700.00,500,1273.83,0.007235
20060127,0.007846,0.007748,0.006934,0.006830,11839069300.00,500,11748525000.00,500,1283.72,0.007764
20060130,0.001336,0.001291,0.000291,0.000175,11854349600.00,500,11839069300.00,500,1285.20,0.001153
20060131,-0.004009,-0.004011,-0.003774,-0.003779,11786499400.00,500,11854349600.00,500,1280.08,-0.003984
20060201,0.001960,0.001844,0.002229,0.002129,11812444300.00,500,11790431100.00,500,1282.46,0.001859
20060202,-0.008613,-0.008871,-0.008613,-0.008682,11707652000.00,500,11812444300.00,500,1270.84,-0.009061
20060203,-0.005509,-0.005579,-0.005683,-0.005733,11641545300.00,500,11707652000.00,500,1264.03,-0.005359
20060206,0.000660,0.000644,0.003149,0.003102,11648995500.00,500,11641545300.00,500,1265.02,0.000783
20060207,-0.008058,-0.008087,-0.008298,-0.008332,11554788600.00,500,11648995500.00,500,1254.78,-0.008095
20060208,0.009058,0.008649,0.007172,0.007053,11654869700.00,500,11554788600.00,500,1265.65,0.008663
20060209,-0.001368,-0.001420,-0.001777,-0.001840,11638325100.00,500,11654869700.00,500,1263.78,-0.001478
20060210,0.002512,0.002463,0.001566,0.001487,11666346400.00,500,11638325100.00,500,1266.99,0.002540
20060213,-0.003194,-0.003338,-0.003254,-0.003433,11627497900.00,500,11666346400.00,500,1262.86,-0.003260
20060214,0.010232,0.010112,0.009979,0.009898,11745107200.00,500,11627497900.00,500,1275.53,0.010033
20060215,0.003883,0.003637,0.003762,0.003519,11787809500.00,500,11745107200.00,500,1280.00,0.003504
20060216,0.007384,0.007320,0.008499,0.008477,11874091600.00,500,11787809500.00,500,1289.38,0.007328
20060217,-0.001742,-0.001750,-0.001250,-0.001278,11853224300.00,500,11874091600.00,500,1287.24,-0.001660
20060221,-0.003292,-0.003297,-0.003404,-0.003416,11813768400.00,500,11853224300.00,500,1283.03,-0.003271
20060222,0.007578,0.007484,0.008864,0.008777,11902184200.00,500,11813768400.00,500,1292.67,0.007513
20060223,-0.003421,-0.003677,-0.003036,-0.003088,11859214900.00,500,11902184200.00,500,1287.79,-0.003775
20060224,0.001314,0.001169,0.000244,0.000149,11870766100.00,500,11859214900.00,500,1289.43,0.001274
20060227,0.003841,0.003667,0.003926,0.003719,11914837500.00,500,11871298900.00,500,1294.12,0.003637
20060228,-0.010479,-0.010492,-0.010916,-0.010936,11816345400.00,500,11914837500.00,500,1280.66,-0.010401
20060301,0.008457,0.008191,0.009253,0.009145,11916351300.00,500,11816345400.00,500,1291.24,0.008261
20060302,-0.001631,-0.001645,-0.002333,-0.002363,11896750200.00,500,11916351300.00,500,1289.14,-0.001626
20060303,-0.001352,-0.001372,-0.002227,-0.002255,11891851500.00,500,11908433000.00,500,1287.23,-0.001482
20060306,-0.006979,-0.007019,-0.008733,-0.008807,11808356900.00,500,11891851500.00,500,1278.26,-0.006968
20060307,-0.001836,-0.001883,-0.004081,-0.004145,11770479700.00,500,11792696900.00,499,1275.88,-0.001862
20060308,0.002283,0.001999,0.001665,0.001421,11794015300.00,500,11770479700.00,499,1278.47,0.002030
20060309,-0.004849,-0.004868,-0.004009,-0.004039,11752958900.00,500,11794015300.00,499,1272.23,-0.004881
20060310,0.007390,0.007387,0.008151,0.008144,11839550500.00,500,11752958900.00,500,1281.58,0.007349
20060313,0.002234,0.001934,0.002512,0.002293,11862044000.00,500,11839550500.00,500,1284.13,0.001990
20060314,0.010364,0.010364,0.011587,0.011587,11985016700.00,500,11862044000.00,500,1297.48,0.010396
20060315,0.004471,0.004381,0.006101,0.006005,12037629500.00,500,11985016700.00,500,1303.02,0.004270
20060316,0.002011,0.001988,0.002125,0.002065,12061558500.00,500,12037629500.00,500,1305.33,0.001773
20060317,0.001535,0.001530,0.002552,0.002534,12080010100.00,500,12061558500.00,500,1307.25,0.001471
20060320,-0.001426,-0.001428,-0.003133,-0.003162,12062734800.00,500,12080010100.00,500,1305.08,-0.001660
20060321,-0.006015,-0.006026,-0.006416,-0.006443,11990040300.00,500,12062734800.00,500,1297.23,-0.006015
20060322,0.005919,0.005899,0.005655,0.005607,12060793200.00,500,11990040300.00,500,1305.04,0.006021
20060323,-0.002579,-0.002583,-0.001035,-0.001041,12031702000.00,500,12060793200.00,500,1301.67,-0.002582
20060324,0.000929,0.000929,0.002170,0.002170,12043811400.00,500,12031702000.00,500,1302.95,0.000983
20060327,-0.001102,-0.001102,-0.000897,-0.000897,12030540900.00,500,12043811400.00,500,1301.61,-0.001028
20060328,-0.006381,-0.006389,-0.004312,-0.004335,11953609200.00,500,12030540900.00,500,1293.23,-0.006438
20060329,0.007607,0.007431,0.009235,0.009015,12042435300.00,500,11953609200.00,500,1302.89,0.007470
