caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
20070103,-0.000608,-0.000793,-0.000912,-0.001018,13015711900.00,500,12943542100.00,499,1416.60,-0.001199
20070104,0.001271,0.001271,0.000965,0.000965,13039472700.00,500,13015711900.00,499,1418.34,0.001228
20070105,-0.006120,-0.006120,-0.007084,-0.007084,12959673300.00,500,13039472700.00,500,1409.71,-0.006085
20070108,0.002546,0.002242,0.002585,0.002460,12989734900.00,500,12959673300.00,500,1412.84,0.002220
20070109,-0.000375,-0.000375,0.001108,0.001108,12984860000.00,500,12989734900.00,500,1412.11,-0.000517
20070110,0.002028,0.001909,0.003021,0.002919,13015613300.00,500,12981032700.00,499,1414.85,0.001940
20070111,0.006531,0.006523,0.007434,0.007418,13100513900.00,500,13015613300.00,500,1423.82,0.006340
20070112,0.004775,0.004774,0.003864,0.003862,13162999500.00,500,13100513900.00,500,1430.73,0.004853
20070116,0.000817,0.000817,0.000939,0.000939,13173756000.00,500,13162999500.00,500,1431.90,0.000818
20070117,-0.000865,-0.000953,-0.000402,-0.000426,13161203800.00,500,13173756000.00,500,1430.62,-0.000894
20070118,-0.002969,-0.002992,-0.004031,-0.004052,13121829600.00,500,13161203800.00,500,1426.37,-0.002971
20070119,0.002904,0.002893,0.005016,0.005012,13159788400.00,500,13121829600.00,500,1430.50,0.002895
20070122,-0.005188,-0.005208,-0.005134,-0.005157,13091733400.00,500,13159788400.00,500,1422.95,-0.005278
20070123,0.003396,0.003396,0.005716,0.005716,13136193700.00,500,13091733400.00,500,1427.99,0.003542
20070124,0.008468,0.008442,0.007454,0.007401,13247238900.00,500,13136193700.00,500,1440.13,0.008501
20070125,-0.011029,-0.011038,-0.010240,-0.010261,13101020600.00,500,13247238900.00,500,1423.90,-0.011270
20070126,-0.001190,-0.001190,0.000479,0.000479,13084850000.00,500,13101020600.00,500,1422.18,-0.001208
20070129,-0.001004,-0.001111,-0.000258,-0.000368,13070312100.00,500,13084850000.00,500,1420.62,-0.001097
20070130,0.005687,0.005670,0.006242,0.006181,13144590100.00,500,13070312100.00,500,1428.82,0.005772
20070131,0.006774,0.006661,0.007193,0.007115,13216988300.00,500,13144590100.00,500,1438.24,0.006593
20070201,0.005568,0.005333,0.007781,0.007709,13283519200.00,499,13213051300.00,499,1445.94,0.005354
20070202,0.001684,0.001678,0.002852,0.002830,13310551200.00,500,13283519200.00,499,1448.39,0.001694
20070205,-0.000834,-0.000929,-0.001087,-0.001154,13297974000.00,500,13310551200.00,500,1446.99,-0.000967
20070206,0.000685,0.000679,0.002833,0.002805,13306998000.00,500,13297974000.00,500,1448.00,0.000698
20070207,0.001834,0.001431,0.003486,0.003383,13326044200.00,500,13306998000.00,500,1450.02,0.001395
20070208,-0.001081,-0.001101,0.000025,-0.000024,13311381800.00,500,13326044200.00,500,1448.31,-0.001179
20070209,-0.006948,-0.006984,-0.007153,-0.007184,13217916600.00,500,13311381800.00,500,1438.06,-0.007077
20070212,-0.003260,-0.003306,-0.003534,-0.003600,13160777300.00,500,13198092400.00,499,1433.37,-0.003261
20070213,0.007644,0.007456,0.008315,0.008184,13258900000.00,500,13160777300.00,500,1444.26,0.007597
20070214,0.007753,0.007504,0.008397,0.008139,13358752400.00,500,13258900000.00,500,1455.30,0.007644
20070215,0.001301,0.001213,0.003150,0.003101,13376679500.00,500,13352758300.00,499,1456.81,0.001038
20070216,-0.000821,-0.000849,-0.000338,-0.000358,13365442100.00,500,13376679500.00,500,1455.54,-0.000872
20070220,0.003142,0.003139,0.004410,0.004397,13407326500.00,500,13365442100.00,500,1459.68,0.002844
20070221,-0.001342,-0.001400,-0.000171,-0.000235,13388869400.00,500,13407326500.00,500,1457.63,-0.001404
20070222,-0.000634,-0.000857,0.000483,0.000446,13378081500.00,500,13387037200.00,499,1456.38,-0.000858
20070223,-0.003514,-0.003622,-0.001986,-0.002028,13331525000.00,500,13378081500.00,500,1451.19,-0.003564
20070226,-0.001029,-0.001153,-0.001404,-0.001495,13316191500.00,500,13331525000.00,500,1449.37,-0.001254
20070227,-0.034485,-0.034579,-0.033019,-0.033171,12855734500.00,500,13316191500.00,500,1399.04,-0.034725
20070228,0.005525,0.005234,0.004532,0.004419,12895749800.00,500,12855734500.00,500,1406.82,0.005561
20070301,-0.002440,-0.002457,-0.003872,-0.003897,12864578800.00,500,12895749800.00,500,1403.17,-0.002595
20070302,-0.011377,-0.011567,-0.013084,-0.014102,12721625400.00,500,12864578800.00,500,1387.17,-0.011403
20070305,-0.009372,-0.009411,-0.011658,-0.011736,12601906300.00,500,12721625400.00,500,1374.12,-0.009408
20070306,0.015521,0.015478,0.015675,0.015650,12796972200.00,500,12601906300.00,500,1395.41,0.015494
20070307,-0.002256,-0.002533,-0.001592,-0.001887,12764534800.00,500,12796972200.00,500,1391.97,-0.002465
20070308,0.007116,0.007053,0.008489,0.008416,12854567400.00,500,12764534800.00,500,1401.89,0.007127
20070309,0.000661,0.000660,0.002145,0.002142,12862948500.00,500,12854567400.00,500,1402.85,0.000685
20070312,0.002718,0.002685,0.003003,0.002979,12897599800.00,500,12862948500.00,500,1406.60,0.002673
20070313,-0.020177,-0.020461,-0.020945,-0.021158,12633715000.00,500,12897599800.00,500,1377.95,-0.020368
20070314,0.006684,0.006586,0.006444,0.006374,12716963300.00,500,12633715000.00,500,1387.17,0.006691
20070315,0.003799,0.003754,0.005509,0.005434,12764803300.00,500,12716963300.00,500,1392.28,0.003684
20070316,-0.003768,-0.003771,-0.003628,-0.003638,12716671000.00,500,12764803300.00,500,1386.95,-0.003828
20070319,0.010896,0.010896,0.010159,0.010159,12854941200.00,500,12716671000.00,500,1402.06,0.010894
20070320,0.006356,0.006343,0.006273,0.006241,12924038400.00,500,12828510300.00,499,1410.94,0.006334
20070321,0.017155,0.017135,0.016187,0.016138,13145486000.00,500,12924038400.00,500,1435.04,0.017081
20070322,-0.000291,-0.000291,-0.001282,-0.001282,13113838400.00,500,13117658800.00,499,1434.54,-0.000348
20070323,0.001040,0.001040,0.002795,0.002795,13134836700.00,500,13113838400.00,499,1436.11,0.001094
20070326,0.000892,0.000892,-0.000371,-0.000371,13146538800.00,500,13134836700.00,500,1437.50,0.000968
20070327,-0.006173,-0.006180,-0.006180,-0.006198,13065289500.00,500,13146538800.00,500,1428.61,-0.006184
20070328,-0.007799,-0.008017,-0.007779,-0.008060,12960865600.00,500,13065289500.00,500,1417.23,-0.007966
20070329,0.003756,0.003717,0.002024,0.001980,13006669900.00,500,12951818200.00,499,1422.53,0.003740
20070330,-0.001099,-0.001108,0.000216,0.000206,13005460000.00,500,13006669900.00,500,1420.86,-0.001174
20070402,0.002671,0.002662,0.004165,0.004147,13006095900.00,500,13001078000.00,499,1424.55,0.002597
20070403,0.009583,0.009242,0.009323,0.008569,13126296900.00,500,13006095900.00,500,1437.77,0.009280
20070404,0.001116,0.001100,0.000081,0.000049,13140740100.00,500,13126296900.00,500,1439.37,0.001113
20070405,0.003259,0.002968,0.003448,0.003348,13179782800.00,500,13140740100.00,500,1443.76,0.003050
20070409,0.000647,0.000639,0.000958,0.000908,13188202200.00,500,13179782800.00,500,1444.61,0.000589
20070410,0.002508,0.002485,0.001913,0.001886,13221271600.00,500,13181682200.00,499,1448.39,0.002617
20070411,-0.006686,-0.006792,-0.006177,-0.006260,13131471800.00,500,13221271600.00,500,1438.87,-0.006573
20070412,0.006138,0.006128,0.006707,0.006696,13211938300.00,500,13131471800.00,500,1447.80,0.006206
20070413,0.003390,0.003387,0.002430,0.002426,13256226600.00,500,13211938300.00,500,1452.85,0.003488
20070416,0.010951,0.010945,0.010914,0.010891,13401361900.00,500,13256226600.00,500,1468.47,0.010751
20070417,0.002093,0.002093,0.001778,0.001778,13429448900.00,500,13401361900.00,500,1471.48,0.002050
20070418,0.000639,0.000632,0.001680,0.001671,13437942500.00,500,13429448900.00,500,1472.50,0.000693
20070419,-0.001267,-0.001285,-0.001728,-0.001740,13420678700.00,500,13437942500.00,500,1470.73,-0.001202
20070420,0.009388,0.009356,0.008441,0.008424,13546240500.00,500,13420678700.00,500,1484.35,0.009261
20070423,-0.002352,-0.002369,0.000791,0.000770,13514070200.00,500,13546240500.00,500,1480.93,-0.002304
20070424,-0.000419,-0.000419,0.000676,0.000676,13508418100.00,500,13514070200.00,500,1480.41,-0.000351
20070425,0.010188,0.010092,0.009763,0.009726,13643101600.00,500,13508418100.00,500,1495.42,0.010139
20070426,-0.000542,-0.000638,-0.000090,-0.000188,13634398900.00,500,13643101600.00,500,1494.25,-0.000782
20070427,-0.000027,-0.000063,-0.001570,-0.001671,13634295800.00,500,13634398900.00,500,1494.07,-0.000120
20070430,-0.007830,-0.007834,-0.010734,-0.010746,13537491500.00,500,13634295800.00,500,1482.37,-0.007831
20070501,0.002661,0.002661,0.003097,0.003097,13573894100.00,500,13537491500.00,500,1486.30,0.002651
20070502,0.006539,0.006427,0.008338,0.008259,13661139200.00,500,13573894100.00,500,1495.92,0.006472
20070503,0.004588,0.004303,0.003290,0.003204,13719850400.00,500,13661139200.00,500,1502.39,0.004325
20070504,0.002098,0.002073,0.001460,0.001438,13748400700.00,500,13719850400.00,500,1505.62,0.002150
